"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node8.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_5.dstat.csv 1",,,,"Date:","12 Apr 2022 16:25:31 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
12-04 16:26:31,1649802391.097,5.784,4.851,89.366,0,0,0,0,909832,979580,599445504,64118890496,64905216,2502701056,0,0
12-04 16:26:32,1649802392.097,5.356,4.033,90.611,0,0,0,0,902396,963099,599031808,64119304192,64905216,2502701056,0,0
12-04 16:26:33,1649802393.097,5.514,4.511,89.975,0,0,0,98304,897954,959242,599384064,64118943744,64913408,2502701056,0,8
12-04 16:26:34,1649802394.097,5.296,5.171,89.533,0,0,0,32768,902670,967867,599236608,64119091200,64913408,2502701056,0,6
12-04 16:26:35,1649802395.097,5.047,4.164,90.789,0,0,0,0,905380,963780,599851008,64118472704,64913408,2502705152,0,0
12-04 16:26:36,1649802396.097,4.981,4.288,90.731,0,0,0,0,892273,951050,598515712,64119808000,64913408,2502705152,0,0
12-04 16:26:37,1649802397.097,5.160,4.154,90.686,0,0,0,0,821483,900152,599597056,64118726656,64913408,2502705152,0,0
12-04 16:26:38,1649802398.097,4.786,4.030,91.121,0.063,0,0,90112,766489,827113,598618112,64119693312,64921600,2502709248,0,6
12-04 16:26:39,1649802399.097,4.786,4.156,91.058,0,0,0,0,765978,829444,599887872,64118423552,64921600,2502709248,0,0
12-04 16:26:40,1649802400.097,5.322,4.070,90.607,0,0,0,49152,760157,831663,599244800,64119066624,64921600,2502709248,0,12
12-04 16:26:41,1649802401.097,5,4.188,90.812,0,0,0,0,666683,733555,598364160,64119947264,64921600,2502709248,0,0
12-04 16:26:42,1649802402.097,4.657,3.839,91.504,0,0,0,0,637268,702234,598245376,64120066048,64921600,2502709248,0,0
12-04 16:26:43,1649802403.097,4.574,4.010,91.416,0,0,0,106496,582321,657057,598986752,64119316480,64929792,2502709248,0,6
12-04 16:26:44,1649802404.097,3.839,3.965,92.196,0,0,0,0,506963,569235,599027712,64119275520,64929792,2502709248,0,0
12-04 16:26:45,1649802405.097,4.378,4.003,91.620,0,0,0,0,500694,565467,599322624,64118980608,64929792,2502709248,0,0
12-04 16:26:46,1649802406.097,3.846,3.783,92.371,0,0,0,32768,501179,568632,598970368,64119332864,64929792,2502709248,0,8
12-04 16:26:47,1649802407.097,4.122,4.310,91.568,0,0,0,0,489727,562763,599015424,64119287808,64929792,2502709248,0,0
12-04 16:26:48,1649802408.096,3.466,4.033,92.502,0,0,0,98304,434680,530215,598777856,64119517184,64937984,2502709248,0,6
12-04 16:26:49,1649802409.097,3.836,3.522,92.642,0,0,0,0,406163,516459,600358912,64117936128,64937984,2502709248,0,0
12-04 16:26:50,1649802410.097,3.589,3.715,92.695,0,0,0,0,406575,515040,598986752,64119308288,64937984,2502709248,0,0
12-04 16:26:51,1649802411.097,3.226,3.542,93.232,0,0,0,0,373506,502033,599281664,64119013376,64937984,2502709248,0,0
12-04 16:26:52,1649802412.097,3.518,3.643,92.839,0,0,0,32768,329263,482006,599347200,64118947840,64937984,2502709248,0,8
12-04 16:26:53,1649802413.097,3.260,4.075,92.602,0.063,0,0,98304,323024,473515,599924736,64118362112,64946176,2502709248,0,6
12-04 16:26:54,1649802414.097,3.030,3.598,93.371,0,0,0,0,322545,476064,599846912,64118439936,64946176,2502709248,0,0
12-04 16:26:55,1649802415.097,2.924,3.179,93.897,0,0,0,0,323195,479371,599339008,64118947840,64946176,2502709248,0,0
12-04 16:26:56,1649802416.097,3.346,3.346,93.308,0,0,0,0,323787,473235,599474176,64118812672,64946176,2502709248,0,0
12-04 16:26:57,1649802417.097,3.338,3.463,93.199,0,0,0,0,317146,472049,600432640,64117854208,64946176,2502709248,0,0
12-04 16:26:58,1649802418.097,3.596,3.155,93.249,0,0,0,81920,313638,464720,599003136,64119275520,64954368,2502709248,0,4
12-04 16:26:59,1649802419.097,3.980,3.980,92.040,0,0,0,0,322667,475317,599482368,64118796288,64954368,2502709248,0,0
12-04 16:27:00,1649802420.097,3.526,3.401,93.073,0,0,0,0,324366,478946,600223744,64118054912,64954368,2502709248,0,0
12-04 16:27:01,1649802421.097,3.390,3.766,92.844,0,0,0,0,319170,471760,599105536,64119173120,64954368,2502709248,0,0
12-04 16:27:02,1649802422.097,3.571,3.822,92.607,0,0,0,0,320685,473910,599670784,64118607872,64954368,2502709248,0,0
12-04 16:27:03,1649802423.097,3.771,3.080,93.149,0,0,0,114688,289411,410286,599650304,64118616064,64962560,2502713344,0,10
12-04 16:27:04,1649802424.097,3.375,3.312,93.312,0,0,0,0,165976,165876,599891968,64118374400,64962560,2502713344,0,0
12-04 16:27:05,1649802425.097,3.064,3.127,93.809,0,0,0,0,124468,89495,599834624,64118431744,64962560,2502713344,0,0
12-04 16:27:06,1649802426.097,2.932,3.556,93.512,0,0,0,0,124232,89035,600088576,64118177792,64962560,2502713344,0,0
12-04 16:27:07,1649802427.097,2.830,2.830,94.340,0,0,0,0,123694,88198,599486464,64118779904,64962560,2502713344,0,0
12-04 16:27:08,1649802428.097,2.393,3.149,94.395,0.063,0,0,98304,124431,88837,600109056,64118149120,64970752,2502713344,0,6
12-04 16:27:09,1649802429.097,2.814,3.377,93.809,0,0,0,0,123713,88442,599506944,64118751232,64970752,2502713344,0,0
12-04 16:27:10,1649802430.097,2.461,2.902,94.637,0,0,0,0,123961,88612,599982080,64118272000,64970752,2502717440,0,0
12-04 16:27:11,1649802431.097,2.766,3.017,94.217,0,0,0,0,124571,88962,599863296,64118390784,64970752,2502717440,0,0
12-04 16:27:12,1649802432.097,2.444,3.634,93.922,0,0,0,0,123844,88361,600014848,64118239232,64970752,2502717440,0,0
12-04 16:27:13,1649802433.097,2.766,3.017,94.217,0,0,0,98304,124104,88889,600371200,64117874688,64978944,2502717440,0,6
12-04 16:27:14,1649802434.097,3.008,3.008,93.985,0,0,0,0,122714,87828,600637440,64117608448,64978944,2502717440,0,0
12-04 16:27:15,1649802435.097,2.330,3.149,94.521,0,0,0,0,96120,74484,599584768,64118661120,64978944,2502717440,0,0
12-04 16:27:16,1649802436.097,2.258,3.199,94.542,0,0,0,0,62363,56758,600293376,64117952512,64978944,2502717440,0,0
12-04 16:27:17,1649802437.097,2.805,3.180,93.953,0.062,0,0,106496,54967,52960,600735744,64117501952,64987136,2502717440,0,9
12-04 16:27:18,1649802438.097,4.840,4.085,91.075,0,0,0,1024000,62281,61411,602058752,64116170752,64995328,2502721536,0,188
