"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node17.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_9.dstat.csv 1",,,,"Date:","12 Apr 2022 16:25:33 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
12-04 16:26:17,1649802377.657,0.063,0,99.937,0,0,0,0,29952,31016,580579328,64140619776,63754240,2502553600,0,0
12-04 16:26:18,1649802378.657,0.063,0.063,99.875,0,0,0,0,30858,32168,580579328,64140619776,63754240,2502553600,0,0
12-04 16:26:19,1649802379.657,0,0.125,99.812,0.063,0,0,114688,30672,32044,580562944,64140619776,63770624,2502553600,0,12
12-04 16:26:20,1649802380.657,0.063,0,99.937,0,0,0,0,31230,32254,580562944,64140619776,63770624,2502553600,0,0
12-04 16:26:21,1649802381.657,0.063,0,99.937,0,0,0,0,30264,31212,580562944,64140619776,63770624,2502553600,0,0
12-04 16:26:22,1649802382.657,0,0.063,99.937,0,0,0,0,28845,28740,580571136,64140611584,63770624,2502553600,0,0
12-04 16:26:23,1649802383.657,0.062,0.062,99.875,0,0,0,0,11222,9416,580575232,64140603392,63770624,2502557696,0,0
12-04 16:26:24,1649802384.657,0.313,0.063,99.624,0,0,0,237568,4086,2274,567619584,64153493504,63787008,2502598656,0,14
12-04 16:26:25,1649802385.657,1.624,0.687,97.689,0,0,0,0,7008,5029,567930880,64153157632,63787008,2502598656,0,0
12-04 16:26:26,1649802386.657,0,0,100,0,0,0,0,1200,0,567922688,64153165824,63787008,2502598656,0,0
12-04 16:26:27,1649802387.657,0,0,100,0,0,0,0,2172,0,567922688,64153165824,63787008,2502598656,0,0
12-04 16:26:28,1649802388.657,0,0,100,0,0,0,0,1827,0,567922688,64153165824,63787008,2502598656,0,0
12-04 16:26:29,1649802389.657,0,0,100,0,0,0,0,2040,0,567922688,64153165824,63787008,2502598656,0,0
12-04 16:26:30,1649802390.657,0,0,99.938,0.062,0,0,57344,2094,0,567914496,64153165824,63795200,2502598656,0,4
12-04 16:26:31,1649802391.657,0,0,100,0,0,0,90112,2069,0,567914496,64153165824,63795200,2502598656,0,16
12-04 16:26:32,1649802392.657,0,0,100,0,0,0,0,1260,0,567914496,64153165824,63795200,2502598656,0,0
12-04 16:26:33,1649802393.657,0,0,100,0,0,0,0,1680,0,567914496,64153165824,63795200,2502598656,0,0
12-04 16:26:34,1649802394.657,0,0,100,0,0,0,0,1740,0,567914496,64153165824,63795200,2502598656,0,0
12-04 16:26:35,1649802395.657,0,0,100,0,0,0,0,1800,0,567914496,64153165824,63795200,2502598656,0,0
12-04 16:26:36,1649802396.657,0,0,100,0,0,0,57344,2187,0,567906304,64153165824,63803392,2502598656,0,10
12-04 16:26:37,1649802397.657,0,0,100,0,0,0,0,1440,0,567906304,64153165824,63803392,2502598656,0,0
12-04 16:26:38,1649802398.657,0,0,100,0,0,0,0,1538,0,567898112,64153174016,63803392,2502598656,0,0
12-04 16:26:39,1649802399.657,0,0,100,0,0,0,0,1680,0,567898112,64153174016,63803392,2502598656,0,0
12-04 16:26:40,1649802400.657,0,0,100,0,0,0,0,1800,0,567898112,64153174016,63803392,2502598656,0,0
12-04 16:26:41,1649802401.657,0,0,100,0,0,0,24576,1500,60,567889920,64153174016,63811584,2502598656,0,4
12-04 16:26:42,1649802402.657,0,0,100,0,0,0,0,1467,0,567889920,64153174016,63811584,2502598656,0,0
12-04 16:26:43,1649802403.657,0,0,100,0,0,0,0,2094,0,567885824,64153174016,63811584,2502602752,0,0
12-04 16:26:44,1649802404.657,0,0,100,0,0,0,0,1380,0,567885824,64153174016,63811584,2502602752,0,0
12-04 16:26:45,1649802405.657,0,0,100,0,0,0,0,1440,0,567885824,64153174016,63811584,2502602752,0,0
12-04 16:26:46,1649802406.657,0,0,100,0,0,0,0,1260,0,567885824,64153174016,63811584,2502602752,0,0
12-04 16:26:47,1649802407.657,0,0,99.938,0.062,0,0,49152,1260,0,567877632,64153174016,63819776,2502602752,0,6
12-04 16:26:48,1649802408.657,0,0,100,0,0,0,0,1560,0,567877632,64153174016,63819776,2502602752,0,0
12-04 16:26:49,1649802409.657,0,0,100,0,0,0,0,1440,0,567877632,64153174016,63819776,2502602752,0,0
12-04 16:26:50,1649802410.657,0,0,100,0,0,0,0,1860,0,567877632,64153174016,63819776,2502602752,0,0
12-04 16:26:51,1649802411.657,0,0,100,0,0,0,794624,2667,0,567877632,64153174016,63819776,2502602752,0,144
12-04 16:26:52,1649802412.657,0,0,100,0,0,0,0,2607,0,567869440,64153182208,63819776,2502602752,0,0
12-04 16:26:53,1649802413.657,0,0,100,0,0,0,24576,2166,66,567861248,64153182208,63827968,2502602752,0,4
12-04 16:26:54,1649802414.657,0,0,100,0,0,0,0,2045,74,567861248,64153182208,63827968,2502602752,0,0
12-04 16:26:55,1649802415.657,0,0,100,0,0,0,0,2394,0,567861248,64153182208,63827968,2502602752,0,0
12-04 16:26:56,1649802416.657,0,0,100,0,0,0,16384,2247,60,567861248,64153182208,63827968,2502602752,0,4
12-04 16:26:57,1649802417.657,0,0,100,0,0,0,0,1665,104,567861248,64153182208,63827968,2502602752,0,0
12-04 16:26:58,1649802418.657,0,0,100,0,0,0,0,1320,0,567861248,64153182208,63827968,2502602752,0,0
12-04 16:26:59,1649802419.657,0,0,99.938,0.062,0,0,24576,2359,590,567853056,64153182208,63836160,2502602752,0,4
12-04 16:27:00,1649802420.657,0,0,100,0,0,0,0,1980,0,567853056,64153182208,63836160,2502602752,0,0
12-04 16:27:01,1649802421.657,0,0,100,0,0,0,0,1560,0,567853056,64153182208,63836160,2502602752,0,0
12-04 16:27:02,1649802422.657,0,0.062,99.938,0,0,0,0,1080,0,567853056,64153182208,63836160,2502602752,0,0
12-04 16:27:03,1649802423.657,0,0,100,0,0,0,0,1380,0,567853056,64153182208,63836160,2502602752,0,0
12-04 16:27:04,1649802424.657,0,0,100,0,0,0,0,1740,60,567853056,64153182208,63836160,2502602752,0,0
12-04 16:27:05,1649802425.657,0,0,100,0,0,0,24576,1500,0,567844864,64153182208,63844352,2502602752,0,4
12-04 16:27:06,1649802426.657,0,0,100,0,0,0,16384,1140,0,567844864,64153182208,63844352,2502602752,0,4
12-04 16:27:07,1649802427.657,0,0,100,0,0,0,0,2007,0,567844864,64153182208,63844352,2502602752,0,0
12-04 16:27:08,1649802428.657,0,0,100,0,0,0,0,1860,0,567844864,64153182208,63844352,2502602752,0,0
12-04 16:27:09,1649802429.657,0,0,100,0,0,0,0,1500,0,567844864,64153182208,63844352,2502602752,0,0
12-04 16:27:10,1649802430.657,0,0,100,0,0,0,0,1740,0,567844864,64153182208,63844352,2502602752,0,0
12-04 16:27:11,1649802431.657,0,0,100,0,0,0,24576,1707,0,567836672,64153182208,63852544,2502602752,0,4
12-04 16:27:12,1649802432.657,0,0,100,0,0,0,16384,1740,0,567836672,64153182208,63852544,2502602752,0,2
12-04 16:27:13,1649802433.657,0,0,100,0,0,0,0,1260,0,567836672,64153182208,63852544,2502602752,0,0
12-04 16:27:14,1649802434.657,0,0,100,0,0,0,0,1260,0,567836672,64153182208,63852544,2502602752,0,0
12-04 16:27:15,1649802435.657,0,0,100,0,0,0,0,1260,0,567836672,64153182208,63852544,2502602752,0,0
12-04 16:27:16,1649802436.657,0,0,100,0,0,0,0,2100,0,567836672,64153182208,63852544,2502602752,0,0
12-04 16:27:17,1649802437.657,0.998,0.437,98.503,0.062,0,0,24576,5733,3216,569020416,64151990272,63860736,2502602752,0,4
