"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_2.dstat.csv 1",,,,"Date:","12 Apr 2022 16:25:31 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
12-04 16:26:46,1649802406.135,3.086,3.778,93.136,0,0,0,0,386609,222879,605192192,64091107328,73871360,2511736832,0,0
12-04 16:26:47,1649802407.135,2.977,3.230,93.794,0,0,0,0,367013,213513,605069312,64091230208,73871360,2511736832,0,0
12-04 16:26:48,1649802408.135,3.407,2.965,93.628,0,0,0,90112,308340,182116,605671424,64090619904,73879552,2511736832,0,6
12-04 16:26:49,1649802409.135,3.470,2.839,93.691,0,0,0,0,289945,173227,605986816,64090304512,73879552,2511736832,0,0
12-04 16:26:50,1649802410.135,3.076,3.641,93.283,0,0,0,0,290263,173743,605757440,64090533888,73879552,2511736832,0,0
12-04 16:26:51,1649802411.135,2.778,3.283,93.939,0,0,0,0,246765,152023,606236672,64090054656,73879552,2511736832,0,0
12-04 16:26:52,1649802412.135,3.072,3.260,93.668,0,0,0,0,207264,130627,605388800,64090902528,73879552,2511736832,0,0
12-04 16:26:53,1649802413.135,2.952,3.204,93.781,0.063,0,0,90112,205614,130638,605167616,64091123712,73879552,2511736832,0,6
12-04 16:26:54,1649802414.135,2.520,3.340,94.140,0,0,0,0,202399,128838,606191616,64090099712,73879552,2511736832,0,0
12-04 16:26:55,1649802415.135,3.011,3.388,93.601,0,0,0,0,202933,129163,605114368,64091176960,73879552,2511736832,0,0
12-04 16:26:56,1649802416.135,2.648,3.216,94.136,0,0,0,0,205154,129629,607010816,64089280512,73879552,2511736832,0,0
12-04 16:26:57,1649802417.135,2.331,3.592,94.077,0,0,0,0,200076,128058,604946432,64091344896,73879552,2511736832,0,0
12-04 16:26:58,1649802418.135,3.262,3.199,93.538,0,0,0,90112,199617,129224,607993856,64088297472,73879552,2511736832,0,6
12-04 16:26:59,1649802419.135,3.011,3.325,93.664,0,0,0,0,204275,130116,604594176,64091697152,73879552,2511736832,0,0
12-04 16:27:00,1649802420.135,3.195,3.195,93.609,0,0,0,376832,201624,128377,605966336,64090324992,73879552,2511736832,0,90
12-04 16:27:01,1649802421.135,2.971,2.655,94.374,0,0,0,0,199852,127725,606081024,64090210304,73879552,2511736832,0,0
12-04 16:27:02,1649802422.135,2.941,3.567,93.492,0,0,0,0,204275,130247,606167040,64090124288,73879552,2511736832,0,0
12-04 16:27:03,1649802423.135,2.755,3.632,93.550,0.063,0,0,131072,188033,122256,606310400,64089972736,73883648,2511740928,0,8
12-04 16:27:04,1649802424.135,2.882,3.258,93.860,0,0,0,0,140088,96952,606556160,64089726976,73883648,2511740928,0,0
12-04 16:27:05,1649802425.135,2.689,3.440,93.871,0,0,0,0,123574,87899,606896128,64089387008,73883648,2511740928,0,0
12-04 16:27:06,1649802426.135,2.642,2.956,94.403,0,0,0,0,123243,87979,606072832,64090210304,73883648,2511740928,0,0
12-04 16:27:07,1649802427.135,2.698,3.137,94.166,0,0,0,0,123501,88007,606040064,64090243072,73883648,2511740928,0,0
12-04 16:27:08,1649802428.135,2.525,2.778,94.697,0,0,0,90112,123962,88368,606863360,64089419776,73887744,2511736832,0,6
12-04 16:27:09,1649802429.135,2.500,3.750,93.750,0,0,0,0,124002,88646,606396416,64089882624,73887744,2511740928,0,0
12-04 16:27:10,1649802430.135,3.057,3.306,93.637,0,0,0,0,123831,88618,606597120,64089677824,73887744,2511745024,0,0
12-04 16:27:11,1649802431.135,2.396,2.963,94.641,0,0,0,24576,124421,88764,605954048,64090320896,73887744,2511745024,0,4
12-04 16:27:12,1649802432.135,2.767,2.830,94.403,0,0,0,0,123672,88361,606593024,64089681920,73887744,2511745024,0,0
12-04 16:27:13,1649802433.135,2.755,3.256,93.989,0,0,0,106496,124351,89021,606470144,64089796608,73895936,2511745024,0,8
12-04 16:27:14,1649802434.135,2.753,3.317,93.930,0,0,0,0,122267,88092,606633984,64089632768,73895936,2511745024,0,0
12-04 16:27:15,1649802435.135,2.514,3.017,94.469,0,0,0,0,94915,74082,606027776,64090238976,73895936,2511745024,0,0
12-04 16:27:16,1649802436.135,2.755,3.006,94.239,0,0,0,16384,60458,55756,606453760,64089812992,73895936,2511745024,0,2
12-04 16:27:17,1649802437.135,2.264,2.956,94.780,0,0,0,0,54967,52960,605122560,64091144192,73895936,2511745024,0,0
12-04 16:27:18,1649802438.135,5.607,4.299,90.031,0.062,0,0,90112,62461,61410,609652736,64086609920,73900032,2511757312,0,6
